Song,Artist,Streams (Billions),Release Date,id,duration,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,danceability
Blinding Lights,The Weeknd,3.449,29-Nov-19,0VjIjW4GlUZAMYd2vXMi3b,3.33,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0.514
Shape of You,Ed Sheeran,3.398,06-Jan-17,7qiZfU4dY1lWllzX7mPBI3,3.9,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,0.825
Dance Monkey,Tones And I,2.77,10-May-19,2XU0oxnq2qxCpomAAuJY8K,3.49,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,0.824
Someone You Loved,Lewis Capaldi,2.68,08-Nov-18,7qEHsqek33rTcFNT9PFqLf,3.04,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,0.501
Rockstar,Post Malone featuring 21 Savage,2.62,15-Sep-17,0e7ipj03S05BNilyu5bRzt,3.64,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,0.585
Sunflower,Post Malone and Swae Lee,2.575,18-Oct-18,3KkXRkHbMCARz0aVfEt68P,2.63,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,0.76
One Dance,Drake featuring Wizkid and Kyla,2.556,05-Apr-16,1zi7xx7UVEFkmKfv06H8x0,2.9,0.625,1,-5.609,1,0.0536,0.00776,0.0018,0.329,0.37,103.967,0.792
Closer,The Chainsmokers featuring Halsey,2.481,29-Jul-16,7BKLCZ1jbUBVqRi2FVlTVw,4.08,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,0.748
Stay,The Kid Laroi and Justin Bieber,2.432,09-Jul-21,789CxjEOtO76BVD1A9yJQH,4.01,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,0.621
Believer,Imagine Dragons,2.41,01-Feb-17,0pqnGHJpmpxLKifKRmU6WP,3.41,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,0.776
Señorita,Shawn Mendes and Camila Cabello,2.365,21-Jun-19,6v3KW9xbzN5yKLt9YKDYA2,3.18,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967,0.759
Perfect,Ed Sheeran,2.361,03-Mar-17,41P6Tnd8KIHqON0QIydx6a,2.96,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,0.634
Heat Waves,Glass Animals,2.32,29-Jun-20,02MWAaffLxlfxAUY7c5dvx,3.98,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,0.761
Say You Won't Let Go,James Arthur,2.269,09-Sep-16,5uCax9HTNlzGybIStD3vDh,3.52,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,0.358
Starboy,The Weeknd featuring Daft Punk,2.258,21-Sep-16,7MXVkk9YMctZqd1Srtv4MB,3.84,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,0.679
Bad Guy,Billie Eilish,2.223,29-Mar-19,2Fxmhks0bxGSBdJ92vM42m,3.23,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,0.701
Thinking Out Loud,Ed Sheeran,2.177,20-Jun-14,0UduxLm2YxJcRMMX1K6E7E,4.69,0.445,2,-6.061,1,0.0296,0.474,0.0,0.184,0.591,78.997,0.781
Lucid Dreams,Juice WRLD,2.177,04-May-18,285pBltuF7vW8TeWk8hdRR,4.0,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,0.511
Don't Start Now,Dua Lipa,2.17,01-Nov-19,6o6urrgOIVbIzzmO4KJHCO,3.02,0.185,11,-12.205,0,0.0484,0.876,0.459,0.237,0.707,78.775,0.498
Lovely,Billie Eilish and Khalid,2.158,19-Apr-18,0u2P5u6lvoDfwTYjAADbn4,3.34,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,0.351
Watermelon Sugar,Harry Styles,2.14,15-May-20,6UelLqGlWMcVH1E5c4H7lY,2.9,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,0.548
God's Plan,Drake,2.126,19-Jan-18,6DCZcSspjsKoFjzjrWoCdn,3.32,0.449,7,-9.211,1,0.109,0.0332,8.29e-05,0.552,0.357,77.169,0.754
Photograph,Ed Sheeran,2.099,20-Jun-14,4cj6Ti4wOXZ5ZdWlUZxRSP,4.32,0.379,4,-10.48,1,0.0359,0.607,0.000472,0.0986,0.22,108.033,0.718
Bohemian Rhapsody,Queen,2.069,31-Oct-75,7tFiyTwD0nx5a1eklYtX2J,5.91,0.402,0,-9.961,0,0.0536,0.288,0.0,0.243,0.228,143.883,0.392
Something Just Like This,The Chainsmokers and Coldplay,2.061,22-Feb-17,6RUKPb4LETWmmr3iAEQktW,4.12,0.635,11,-6.769,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,0.617
Sweater Weather,The Neighbourhood,2.041,28-Mar-12,2QjOHCTQ1Jl3zawyYOpxh6,4.01,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,0.612
Shallow,Lady Gaga and Bradley Cooper,2.035,27-Sep-18,2VxeLyX666F8uXCJ0dZF8B,3.6,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,0.572
As It Was,Harry Styles,2.012,01-Apr-22,4LRPiXqCikLlN15c3yImP7,2.79,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,0.52
Love Yourself,Justin Bieber,2.003,09-Nov-15,50kpGaPAhYJ3sGmk6vplg0,3.9,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,0.609
Circles,Post Malone,1.99,30-Aug-19,21jGcNKet2qwijlDFuPiPb,3.59,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,0.695
Sad!,XXXTentacion,1.987,01-Mar-18,3ee8Jmje8o58CHK66QrVC2,2.78,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,0.74
